delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,5182067015.193293,7371303293.558723,17919027.749118105,5327799661.624134,7670291289.05678,21124469.829578537,1,min,94.07836118182671,200.0,150.0,6.718200245056906e-12,0.02730723656522581,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,7079846855.579113,7028285964.247633,50634644.71305543,8943069466.61817,6655818870.652193,69435452.2637199,1,max,94.07836118182671,200.0,150.0,6.718200245056906e-12,0.02730723656522581,0.001,False,,,5.130900511045216,167.41441019443403
0.0,2561819142.7719336,3786288951.4230766,4674551.017862108,2612888230.5921392,3898763617.549503,5666213.007578595,2,min,133.00537811202395,200.0,150.0,6.718200245056906e-12,0.011712749490735204,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,4440262143.778242,3379429884.5307117,30659791.759181757,6109946329.55431,2694888028.957482,49436988.87326518,2,max,133.00537811202395,200.0,150.0,6.718200245056906e-12,0.011712749490735204,0.001,False,,,5.130900511045216,167.41441019443403
0.0,2073952131.21172,3088053199.324391,3323691.015340498,2104197316.058443,3168282403.734773,4093206.777083553,3,min,162.8807022663725,200.0,150.0,6.718200245056906e-12,0.008989185798692595,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3951341651.630546,2659616142.194755,28009086.792741966,5546122763.887459,1889596205.407521,46979262.60871836,3,max,162.8807022663725,200.0,150.0,6.718200245056906e-12,0.008989185798692595,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1819713743.9722278,2718280255.6538553,2689294.319369024,1838050226.396359,2781090252.2450023,3345485.7357007195,4,min,188.06864633651966,200.0,150.0,6.718200245056906e-12,0.007578800081426841,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3696422328.3672166,2274020279.5560923,26593038.628927305,5236646196.104915,1446359960.7748144,45714675.68860111,4,max,188.06864633651966,200.0,150.0,6.718200245056906e-12,0.007578800081426841,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1655663255.484766,2475830913.0413594,2302351.7525298023,1665932983.8676014,2527333541.01104,2883686.8523263955,5,min,210.2605723832101,200.0,150.0,6.718200245056906e-12,0.006677328267097956,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3531707343.229456,2019097440.9651895,25642653.855870105,5028352198.617243,1147600857.5247986,44892617.75921526,5,max,210.2605723832101,200.0,150.0,6.718200245056906e-12,0.006677328267097956,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1537970209.6953373,2299397409.948846,2035049.005147409,1542296924.0321045,2342847910.210798,2560931.790440783,6,min,230.3241213224949,200.0,150.0,6.718200245056906e-12,0.006036920913882064,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3413289409.385093,1832379916.9120278,24933965.427215673,4873425278.185653,925429240.0548944,44297059.814358845,6,max,230.3241213224949,200.0,150.0,6.718200245056906e-12,0.006036920913882064,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1447927360.5900989,2162731164.370448,1836292.2376007051,1447644663.3841097,2200108469.8914795,2318385.050861673,7,min,248.77478454828088,200.0,150.0,6.718200245056906e-12,0.005551619757791094,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3322449406.091597,1686970283.4028294,24372352.275894176,4751068666.06761,750224660.4056852,43837528.41048494,7,max,248.77478454828088,200.0,150.0,6.718200245056906e-12,0.005551619757791094,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1375985471.3348749,2052358691.1348321,1681118.9977489496,1372000502.918182,2084970211.8292623,2127203.428493394,8,min,265.94846491587015,200.0,150.0,6.718200245056906e-12,0.0051673884063664155,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3249643575.6564713,1568995617.070199,23909291.00217558,4650483195.479291,606541628.0735198,43467981.657634474,8,max,265.94846491587015,200.0,150.0,6.718200245056906e-12,0.0051673884063664155,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1169939371.524363,1785548112.2048726,1522598.568609807,1166038969.1247556,1820679158.2918353,1940529.8225669921,9,min,282.07849715136393,200.0,150.0,6.718200245056906e-12,0.0048533651368816814,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3082155237.3263874,1343615522.4393663,23486868.55924841,4525719298.019544,438226726.29446054,43152354.48101752,9,max,282.07849715136393,200.0,150.0,6.718200245056906e-12,0.0048533651368816814,0.001,False,,,5.130900511045216,167.41441019443403
0.0,1123060853.7669382,1714885088.7131293,1420211.9229113818,1116482064.959805,1746339375.9616575,1811986.9557786572,10,min,297.3347795318204,200.0,150.0,6.718200245056906e-12,0.0045904625572165195,0.001,False,,,5.130900511045216,167.41441019443403
617.0587965812036,3035539724.125351,1267455686.1801717,23148889.057562016,4458926257.469778,342509270.55919224,42895095.92124913,10,max,297.3347795318204,200.0,150.0,6.718200245056906e-12,0.0045904625572165195,0.001,False,,,5.130900511045216,167.41441019443403
