delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,7658404951.446305,10562957640.61027,35260861.87297008,7535673950.300367,10826415924.424837,41077378.313628085,1,min,90.25753543427159,200.0,150.0,5.809267341736716e-12,0.03893736516367342,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,9939182769.482409,10147483939.307827,85936717.04189824,11910669880.87736,9613788538.970623,113559180.87328872,1,max,90.25753543427159,200.0,150.0,5.809267341736716e-12,0.03893736516367342,0.001,False,,,5.844049206790924,206.48522882666785
0.0,3458628628.169105,4889316498.770969,8859504.268084763,3396418776.5969505,5013424121.434392,10666815.494349815,2,min,127.62342225590777,200.0,150.0,5.809267341736716e-12,0.0165337449053981,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,5742264898.4527025,4443456896.478826,48287993.3224754,7697506475.208834,3685432167.660123,75522914.2432281,2,max,127.62342225590777,200.0,150.0,5.809267341736716e-12,0.0165337449053981,0.001,False,,,5.844049206790924,206.48522882666785
0.0,3000632725.559303,4324478619.772739,6405079.778654124,2939512457.888669,4419593524.8854475,7826966.530713295,3,min,156.29796260332594,200.0,150.0,5.809267341736716e-12,0.012687977610349075,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,5257186907.587751,3812057017.112153,43755140.19629403,7111089528.818527,2894119423.909722,71207093.74847546,3,max,156.29796260332594,200.0,150.0,5.809267341736716e-12,0.012687977610349075,0.001,False,,,5.844049206790924,206.48522882666785
0.0,2396749196.0850763,3475822797.05887,5088605.045873263,2340272219.085197,3557550725.799048,6311356.994963855,4,min,180.47262484817918,200.0,150.0,5.809267341736716e-12,0.010696861033661397,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4687429390.5021105,2994262106.9996357,41204070.00671374,6550037445.433705,2092220542.6340964,68882156.21523802,4,max,180.47262484817918,200.0,150.0,5.809267341736716e-12,0.010696861033661397,0.001,False,,,5.844049206790924,206.48522882666785
0.0,2386894647.778593,3455853462.437321,4440688.475184907,2326128951.194214,3526212660.611807,5528177.942976904,5,min,201.7713644827545,200.0,150.0,5.809267341736716e-12,0.00942431607753664,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4641987495.109055,2910969232.137375,39663126.04729404,6403892880.546659,1880055447.9629564,67477438.81057015,5,max,201.7713644827545,200.0,150.0,5.809267341736716e-12,0.00942431607753664,0.001,False,,,5.844049206790924,206.48522882666785
0.0,2214341613.846708,3206166539.1841826,3926965.016747445,2153039496.5039463,3269181322.002837,4914844.535827563,6,min,221.02714478288297,200.0,150.0,5.809267341736716e-12,0.008520342657901709,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4468687531.115577,2649460285.4203954,38454565.137119055,6193856313.721935,1577939013.5692348,66418009.413906276,6,max,221.02714478288297,200.0,150.0,5.809267341736716e-12,0.008520342657901709,0.001,False,,,5.844049206790924,206.48522882666785
0.0,2082402598.921729,3013015155.415575,3545022.514672102,2020516033.4394805,3070331423.4914203,4453865.6771524865,7,min,238.7348192797072,200.0,150.0,5.809267341736716e-12,0.007835333184941002,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4335924986.571865,2446249407.235079,37502291.80218597,6028605330.851372,1340222356.274109,65601523.38387964,7,max,238.7348192797072,200.0,150.0,5.809267341736716e-12,0.007835333184941002,0.001,False,,,5.844049206790924,206.48522882666785
0.0,1977047690.3355362,2857207049.6939764,3246830.415090337,1914601149.0585415,2909938304.4324055,4090424.1091286945,8,min,255.21682770177088,200.0,150.0,5.809267341736716e-12,0.007292997596439519,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4229670527.1679244,2281689034.7675095,36720669.944627136,5893214209.413794,1145636962.6053228,64945280.081220716,8,max,255.21682770177088,200.0,150.0,5.809267341736716e-12,0.007292997596439519,0.001,False,,,5.844049206790924,206.48522882666785
0.0,1890246088.4141276,2727691802.0378933,3005778.834738684,1827289427.3653111,2776634205.5626163,3794015.7625978203,9,min,270.69714506768696,200.0,150.0,5.809267341736716e-12,0.006849766997486539,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4141901705.191216,2144428418.2053962,36060417.14593155,5779020517.615076,981787507.797543,64401921.78679414,9,max,270.69714506768696,200.0,150.0,5.809267341736716e-12,0.006849766997486539,0.001,False,,,5.844049206790924,206.48522882666785
0.0,1817017158.5549061,2617572520.4205894,2805772.821639828,1753607483.5934072,2663319186.2368746,3546103.045372343,10,min,285.33885041023996,200.0,150.0,5.809267341736716e-12,0.006478695989990567,0.001,False,,,5.844049206790924,206.48522882666785
745.3023626663944,4067647844.6758122,2027362340.7866557,35490675.540700406,5680581930.620793,840854447.2420709,63941941.83382706,10,max,285.33885041023996,200.0,150.0,5.809267341736716e-12,0.006478695989990567,0.001,False,,,5.844049206790924,206.48522882666785
