delta_t,max_sigma_yy,max_tau_xy,mean_sed
300.0,1763313117.7084408,233840555.29074937,7511838.391738691
500.0,2938855196.1803517,389734258.818562,20866217.754828934
700.0,4114397274.6523376,545627962.3449634,40897786.79946619
900.0,5289939353.120609,701521665.8751694,67606545.52564608
1100.0,6465481431.594568,857415369.4057305,100992493.93338859
