feature,coef,importance
delta_t,815910265.6474341,815910265.6474341
e_scale,558673748.6034794,558673748.6034794
alpha_scale,533060635.57131666,533060635.57131666
ysz_thickness_um,37339465.66177793,37339465.66177793
tgo_thickness_um,17499414.094012644,17499414.094012644
bond_thickness_um,2782778.432226525,2782778.432226525
