feature,coef,importance
delta_t,138640415.66907194,138640415.66907194
e_scale,69055194.44971296,69055194.44971296
alpha_scale,63054012.81441222,63054012.81441222
tgo_thickness_um,28219721.089385346,28219721.089385346
ysz_thickness_um,14721938.517701458,14721938.517701458
bond_thickness_um,2612882.974666647,2612882.974666647
