feature,coef,importance
delta_t,100733851.30052252,100733851.30052252
e_scale,67927086.60224314,67927086.60224314
alpha_scale,63971454.19512759,63971454.19512759
tgo_thickness_um,-32746220.52920625,32746220.52920625
ysz_thickness_um,17801301.94711423,17801301.94711423
bond_thickness_um,-2208631.2732847393,2208631.2732847393
