feature,coef,importance
delta_t,19753833.957473382,19753833.957473382
alpha_scale,13069177.278171632,13069177.278171632
e_scale,6338419.402499359,6338419.402499359
bond_thickness_um,844861.6664607235,844861.6664607235
tgo_thickness_um,-139437.26834389818,139437.26834389818
ysz_thickness_um,-113076.15527139606,113076.15527139606
