feature,coef,importance
delta_t,814937349.8907812,814937349.8907812
e_scale,557713811.1576933,557713811.1576933
alpha_scale,533137684.96856385,533137684.96856385
ysz_thickness_um,36662345.05230235,36662345.05230235
tgo_thickness_um,20064538.6262408,20064538.6262408
bond_thickness_um,2177371.848134228,2177371.848134228
