feature,coef,importance
delta_t,19725831.37457101,19725831.37457101
alpha_scale,13052817.549459852,13052817.549459852
e_scale,6329986.889762756,6329986.889762756
bond_thickness_um,839371.1090478057,839371.1090478057
tgo_thickness_um,-175682.13162860356,175682.13162860356
ysz_thickness_um,-120384.01416291308,120384.01416291308
