delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,bc_variant,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
617.5636836467037,4517613939.610858,879147825.515431,39463476.941165015,4506943664.575275,858073585.85912,39499645.07382336,1.2897635378108931,200.0,150.0,fixed,0.9057477246614901,1.0278459001922513,1.1593686585176075,1.06592404921676,1.113469990316199,0.9962110590809833,1.0844585269332563,1.137905337529245,5.6614711354804275,343.77345455822956
993.0454106769221,5362204434.682459,364567230.9648763,66366016.943656065,5363204718.452428,611225534.0667247,68432584.4882223,4.8524121552317725,200.0,150.0,fixed,1.0049420155355675,0.8753602511792127,0.8456239144196032,1.0046921081485565,1.1061062356985591,0.8442903022944196,1.1479917276691798,0.9311705052071215,6.128639963305025,362.0331927173388
775.2161742538256,4331561219.945152,296612051.1916812,51261128.99420719,4331886768.405531,476419349.9161954,52781683.182889245,3.4926073150161994,200.0,150.0,fixed,1.017714067833082,1.125251068684503,0.8594418204663232,0.8376763678711469,0.9324269973362338,0.9512949831287092,0.9171703445413727,1.166243688840318,0.6004214380799145,299.08505700959984
746.9959093598834,4360087788.055695,334650054.256913,49102056.002629735,4360459324.719511,336618769.31569195,49125276.2245063,1.3999178800484826,200.0,150.0,fixed,0.9291746455144246,1.1440623085002428,0.8035913189889237,1.178966011487028,0.831377047289273,1.1965313178507053,0.959273203041889,0.8645741461343318,5.959471851350266,246.63867477184613
1003.0722997904747,5431946761.863876,965458133.0381426,76178315.61233181,5432718334.211701,1027923041.0728996,76277033.24030139,1.8699904578491613,200.0,150.0,fixed,0.9565353996456144,0.9323028565951971,1.093702866759824,0.8100765185614668,0.8071752395349484,1.0345542872398412,0.9426140044603217,1.0975484377829112,7.412633515804522,113.25435443797093
696.8682417775963,5070022110.127961,579640388.2760772,46922005.05560946,5067170675.564946,588411844.0792111,46970985.520373404,2.1235576460671806,200.0,150.0,fixed,0.9639090837736142,0.8995485167811258,1.0286002678120743,1.0431110795922256,0.9384665561675466,1.1600857194990395,0.9049786981220054,1.1845029148508592,2.473163385537452,430.3964150490858
1081.9766748628924,5646613611.408323,347018156.5507704,78065543.00559573,5653216065.313791,483670028.6169997,79620863.03407525,4.801036635223354,200.0,150.0,fixed,1.0472628720025552,0.8487908002518263,0.8823601453689767,1.1329419652526544,1.067877095083495,0.9389560528566986,0.8089436600752101,0.800002485063697,6.488600890448245,102.40472961808783
860.499003409828,5087501891.722336,821953683.1957818,59830283.92175316,5077072262.450183,967505447.4737093,59907513.60019543,2.3550961261068744,200.0,150.0,fixed,1.1291767899799026,0.8568695484292448,1.1395514910249103,1.0677231766031492,0.9509837353156338,0.8371131663344678,1.1984717176269104,0.9035180564331791,8.139284568645333,137.12687254545875
787.4160766844799,4324188702.589367,473299175.41649526,46911511.16673327,4321520870.108368,455105609.6474961,46922124.55813337,0.45213969344591465,200.0,150.0,fixed,0.8885401324911011,0.98837567257627,0.8969070771650206,0.9156455160998817,0.8190897838058673,1.018353039326292,0.829720613374007,1.0354861082357107,7.164055336704251,491.9723090351267
845.6911175372452,5502253476.403352,408082876.4597214,67587552.77712196,5496917542.6104145,448317458.29889226,67646607.89458017,2.8296521728264783,200.0,150.0,fixed,1.0348352222909087,1.0234593343611358,0.9382756566048558,1.17024605953153,0.9029394904905227,0.9609473571836251,0.892793293516018,0.9668907255045092,5.304570383571901,151.08943494633922
974.9631494749633,5461845935.864577,454666578.87195563,83842034.55721267,5458274269.63115,475488693.26726204,83862417.59523377,0.588367803405272,200.0,150.0,fixed,1.0705993904723472,1.081906902742801,0.9332542969961826,0.8472062418724446,0.9739650145731558,0.8538707065128532,0.8181777229109191,1.156552397121279,2.9907752134876855,82.1006037393152
1016.9149152793373,5071193148.495169,1177704352.6010578,80558601.86317796,5057941843.99322,1366867430.9415252,80781806.94000076,3.163058423036719,200.0,150.0,fixed,0.989730952504599,1.1692209111642056,1.1621678627782888,0.9660874503698673,1.1823975817517776,1.1235395941774822,1.0137472036159823,0.8445625399618236,9.87597613533802,59.66075425566309
813.7373599349569,4412752487.604254,386207745.69292116,50994948.21249757,4340092217.484482,817547937.09466,50281663.022047274,4.159020657171145,200.0,150.0,fixed,1.1902939300421491,0.892366402621647,1.0175605011908035,0.8198536493708435,1.188554448655483,1.139738977882564,1.112311983316542,1.0854996461270647,8.978425044084979,332.1461125918616
913.318752143668,5444224370.968838,684971569.100194,71251041.23149508,5433482943.472838,1207266420.8110325,71373509.39316556,3.5712561077241163,200.0,150.0,fixed,1.1802924471121916,0.9094281274755405,1.1163485151976686,0.8774130330784341,1.120013579319368,1.0954313120034518,1.1655866497074923,1.1130460266163258,1.7906103647673537,73.05545525187277
820.2293827229182,4843673800.17684,722664225.7318543,49256013.48170239,4843170977.078166,836467736.097475,56086177.10590639,4.26877285126948,200.0,150.0,fixed,0.85547775167372,1.0722504505323056,0.9528233454501809,0.9361312399440685,1.089208601587658,1.0705681050288884,1.178734920831348,1.067894089331773,6.771296690653214,270.61580132072146
