delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,12507658920.177227,18201868153.02093,81131882.27584782,12763666049.326153,18564768280.149216,94875869.19610731,1,min,73.95242716514497,200.0,150.0,4.540640161301225e-12,0.06554644335439803,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,15469367422.26696,17641870277.98096,172638714.45182785,18453222478.607265,16964717703.399006,221624563.25932652,1,max,73.95242716514497,200.0,150.0,4.540640161301225e-12,0.06554644335439803,0.001,False,,,7.146590641510531,384.2311033449574
0.0,5704290555.151975,8394226162.286395,20304815.654326692,5809590129.803894,8571748135.283661,24384329.756852377,2,min,104.57862114582377,200.0,150.0,4.540640161301225e-12,0.027559126333268243,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,8655323744.386162,7787674403.191556,90372654.1949895,11389026799.173851,6810548554.534672,136341958.40106547,2,max,104.57862114582377,200.0,150.0,4.540640161301225e-12,0.027559126333268243,0.001,False,,,7.146590641510531,384.2311033449574
0.0,4267856772.5159235,6267535072.048929,14316398.891601233,4345115130.253582,6417571591.093137,17508245.52079106,3,min,128.07971938565217,200.0,150.0,4.540640161301225e-12,0.021147575038889095,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,7249767599.851674,5685835421.209453,80672713.30279024,9933452688.4867,4690168207.450169,126855424.41147888,3,max,128.07971938565217,200.0,150.0,4.540640161301225e-12,0.021147575038889095,0.001,False,,,7.146590641510531,384.2311033449574
0.0,4026283387.9136696,5995374773.729479,11863151.705797391,4075576536.223556,6114092950.403676,14618897.566101655,4,min,147.89232919611845,200.0,150.0,4.540640161301225e-12,0.01782847118067813,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,6972579001.858591,5335117749.3741455,76021374.4933644,9520707352.65368,4164063230.9859314,122353530.36949444,4,max,147.89232919611845,200.0,150.0,4.540640161301225e-12,0.01782847118067813,0.001,False,,,7.146590641510531,384.2311033449574
0.0,3654985356.060106,5456016595.146102,10213568.989059547,3689018093.2964826,5559120528.15173,12681945.03216949,5,min,165.3477171060996,200.0,150.0,4.540640161301225e-12,0.015707313840918575,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,6600310503.238081,4777384788.659483,72802279.48211044,9084719393.227165,3543097117.1593547,119319743.71801072,5,max,165.3477171060996,200.0,150.0,4.540640161301225e-12,0.015707313840918575,0.001,False,,,7.146590641510531,384.2311033449574
0.0,3388741198.4969034,5064988183.8007345,9071225.538660567,3411099923.2764325,5156250813.253369,11328489.830199497,6,min,181.12866716603534,200.0,150.0,4.540640161301225e-12,0.014200562976749188,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,6333278472.467068,4371063978.07846,70434651.72428282,8763944999.397825,3084621413.0134916,117126518.42476779,6,max,181.12866716603534,200.0,150.0,4.540640161301225e-12,0.014200562976749188,0.001,False,,,7.146590641510531,384.2311033449574
0.0,2881419222.805725,4349527341.603825,8061535.745119948,2902191041.3104057,4438964805.329422,10157319.012266561,7,min,195.64079479109176,200.0,150.0,4.540640161301225e-12,0.013058807073309654,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,5874120036.010674,3709470689.6305857,68425532.50497258,8341207169.49729,2489461642.1241035,115338586.913349,7,max,195.64079479109176,200.0,150.0,4.540640161301225e-12,0.013058807073309654,0.001,False,,,7.146590641510531,384.2311033449574
0.0,3022711173.0680437,4519520915.757899,7553075.454416032,3028077405.3900843,4593711931.990457,9508167.386164876,8,min,209.14838537181143,200.0,150.0,4.540640161301225e-12,0.012154869635677355,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,5965762381.043039,3801071795.5295267,67057217.771307945,8308555200.078478,2431486437.609748,114069256.2182666,8,max,209.14838537181143,200.0,150.0,4.540640161301225e-12,0.012154869635677355,0.001,False,,,7.146590641510531,384.2311033449574
0.0,2595698777.6064878,3940233198.4861174,6872803.511488306,2602446054.7634993,4014866758.2459745,8718960.227897331,9,min,221.83501441562694,200.0,150.0,4.540640161301225e-12,0.011416123491622725,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,5591559525.968058,3281402852.1058993,65643324.84265063,7988805464.578666,1992349409.303405,112862207.27585514,9,max,221.83501441562694,200.0,150.0,4.540640161301225e-12,0.011416123491622725,0.001,False,,,7.146590641510531,384.2311033449574
0.0,2776021229.531078,4145421229.3275337,6563729.344626754,2769418439.0614405,4207707756.576642,8304124.753606502,10,min,233.8343433671091,200.0,150.0,4.540640161301225e-12,0.01079765323425313,0.001,False,,,7.146590641510531,384.2311033449574
968.5366763058678,5717485936.780811,3407696766.6562786,64672693.12036112,7989595253.661767,1972985254.1996257,111974154.64250818,10,max,233.8343433671091,200.0,150.0,4.540640161301225e-12,0.01079765323425313,0.001,False,,,7.146590641510531,384.2311033449574
