metric,mean,std,min,max
ysz_pi_sigma,2.2835002594164804,0.21300278892096716,1.4591842936353108,3.81298247862754
tgo_pi_sigma,2.28143780602514,0.2127022156821402,1.4569277404916974,3.8069123562430014
ysz_pi_u,0.9531172403673899,0.06109996897166183,0.6723636504572007,1.5730127040845017
tgo_pi_u,0.9560828788715505,0.06136150121765342,0.6752641298603089,1.5758510697937103
corr_sigma_ysz,0.9539366775390749,,,
corr_sigma_tgo,0.953940052060695,,,
corr_sed_ysz,0.9909972452558166,,,
corr_sed_tgo,0.990954800492441,,,
