delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,3303576411.0875235,4605470686.841603,5155530.863817471,3368427041.681248,4755190948.065292,5881903.140212005,1,min,57.25650197429869,200.0,150.0,2.225445377042661e-12,0.018869197489297378,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,5234866387.164768,4285029398.7457957,32476413.674118824,7112006299.708714,3834412026.6652474,51676485.72747404,1,max,57.25650197429869,200.0,150.0,2.225445377042661e-12,0.018869197489297378,0.001,False,,,1.779624838566833,340.6397934095286
0.0,1609648092.7319355,2312859412.772279,1410544.2520617791,1638890421.5978622,2384168033.425374,1646917.0537946469,2,min,80.9216287867321,200.0,150.0,2.225445377042661e-12,0.008212291391055858,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,3520435922.88103,1946398514.2358732,25326917.900308475,5300283852.510243,1323892137.451272,45090750.299779594,2,max,80.9216287867321,200.0,150.0,2.225445377042661e-12,0.008212291391055858,0.001,False,,,1.779624838566833,340.6397934095286
0.0,1220526623.621891,1733529825.047997,1002628.391924918,1241769948.1264942,1793418137.0632105,1190253.4358849053,3,min,99.08740077659958,200.0,150.0,2.225445377042661e-12,0.006303900845606008,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,3144457501.9857845,1380132004.8258514,24194258.667097908,4902561911.041883,750000465.9719207,44158642.56831959,3,max,99.08740077659958,200.0,150.0,2.225445377042661e-12,0.006303900845606008,0.001,False,,,1.779624838566833,340.6397934095286
0.0,1056503281.9186172,1516372935.7265494,819893.6629160946,1072840315.4129565,1567420273.3908932,984613.4278757656,4,min,114.40417815721273,200.0,150.0,2.225445377042661e-12,0.005315240438747275,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2981389739.943225,1152106420.7001255,23556951.499432184,4708113600.111734,483961242.367725,43660388.35492797,4,max,114.40417815721273,200.0,150.0,2.225445377042661e-12,0.005315240438747275,0.001,False,,,1.779624838566833,340.6397934095286
0.0,950640134.7032628,1376371464.1940138,708141.0836953562,963476739.7379184,1421265054.866055,858120.0730297884,5,min,127.89964412378976,200.0,150.0,2.225445377042661e-12,0.004683207483062362,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2876827766.957612,1003073507.6202526,23107367.356933575,4577416305.2578125,304479564.922085,43322813.537197284,5,max,127.89964412378976,200.0,150.0,2.225445377042661e-12,0.004683207483062362,0.001,False,,,1.779624838566833,340.6397934095286
0.0,874872484.3315675,1275823790.676738,630706.7358365268,885015580.4878151,1316074501.899781,769902.9483093306,6,min,140.10111332233183,200.0,150.0,2.225445377042661e-12,0.00423416368108263,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2802401379.60981,894785370.2264556,22758804.56964161,4480398792.733711,170627132.70318082,43069791.028152846,6,max,140.10111332233183,200.0,150.0,2.225445377042661e-12,0.00423416368108263,0.001,False,,,1.779624838566833,340.6397934095286
0.0,817114167.0458729,1198736184.1900513,572945.0615893626,825087267.5967281,1235308971.0395215,703661.2659642253,7,min,151.3219248533459,200.0,150.0,2.225445377042661e-12,0.0038938550664513382,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2745920371.874893,810918830.667189,22473627.432890046,4403921392.896805,130139969.29865961,42868823.152694255,7,max,151.3219248533459,200.0,150.0,2.225445377042661e-12,0.0038938550664513382,0.001,False,,,1.779624838566833,340.6397934095286
0.0,771160232.9354154,1136982836.3996694,527702.798420075,777329501.2262933,1170543813.164135,651436.7653991312,8,min,161.76627562160928,200.0,150.0,2.225445377042661e-12,0.0036244070263892793,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2701144823.190317,743132339.1315455,22232065.875453364,4341148914.387484,138907595.2420758,42703075.57382535,8,max,161.76627562160928,200.0,150.0,2.225445377042661e-12,0.0036244070263892793,0.001,False,,,1.779624838566833,340.6397934095286
0.0,804196251.9367719,1189672653.9283922,500098.6137972034,807226962.4220407,1217549361.1071954,617863.8942683024,9,min,171.57602080608834,200.0,150.0,2.225445377042661e-12,0.0034041856849304263,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2706879762.4941273,748797911.4936985,22029701.249544308,4292070335.0189447,146946183.25572973,42562805.35344644,9,max,171.57602080608834,200.0,150.0,2.225445377042661e-12,0.0034041856849304263,0.001,False,,,1.779624838566833,340.6397934095286
0.0,771809896.4275434,1142893795.1369326,469152.48020047235,773463241.5348715,1168720874.0456188,581698.3219577048,10,min,180.8544550261786,200.0,150.0,2.225445377042661e-12,0.0032198097255955647,0.001,False,,,1.779624838566833,340.6397934095286
626.3455254700556,2674223548.5488963,696207773.296065,21843938.266027313,4274417436.533746,170391288.25871313,42441032.58663768,10,max,180.8544550261786,200.0,150.0,2.225445377042661e-12,0.0032198097255955647,0.001,False,,,1.779624838566833,340.6397934095286
