delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,20451309908.261784,29744363146.08869,170295798.8834611,20761201463.41163,30173231855.107395,192979098.18592843,1,min,48.51931124769846,200.0,150.0,1.3204674218779738e-12,0.11795761357918336,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,22835842496.20941,29333073593.617157,248009080.1052468,25391118545.72184,29020509178.297817,287883489.36297846,1,max,48.51931124769846,200.0,150.0,1.3204674218779738e-12,0.11795761357918336,0.001,False,,,3.680176849695904,475.1470412737722
0.0,9271834791.68677,13438718688.002253,42521907.717844814,9427011930.05009,13689179956.02439,49379578.79674548,2,min,68.61545576245408,200.0,150.0,1.3204674218779738e-12,0.04927088477025985,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,11637772433.063873,12998640679.378353,98102418.90645544,13985457968.52155,12436699996.81148,128446523.81847282,2,max,68.61545576245408,200.0,150.0,1.3204674218779738e-12,0.04927088477025985,0.001,False,,,3.680176849695904,475.1470412737722
0.0,7455620345.976276,10857701193.792372,30757539.114542533,7578767215.272112,11075295325.536173,36277504.7925403,3,min,84.03593264209987,200.0,150.0,1.3204674218779738e-12,0.037807278848020535,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,9814885391.607674,10397602338.266129,82962864.63779858,12089742893.51968,9753438462.398293,112785443.99722092,3,max,84.03593264209987,200.0,150.0,1.3204674218779738e-12,0.037807278848020535,0.001,False,,,3.680176849695904,475.1470412737722
0.0,6500766018.240286,9514287587.248814,25239421.38171215,6602597147.822605,9709445956.854944,30107111.60195215,4,min,97.03605093245396,200.0,150.0,1.3204674218779738e-12,0.03187314511066918,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,8856744228.404842,9038571297.379742,75522138.2266675,11076632226.729473,8333438707.559012,105136400.48045681,4,max,97.03605093245396,200.0,150.0,1.3204674218779738e-12,0.03187314511066918,0.001,False,,,3.680176849695904,475.1470412737722
0.0,5510280404.399419,7977205544.742987,21518662.64958427,5602311721.186657,8164756044.574901,25954296.546765197,5,min,108.48941140085539,200.0,150.0,1.3204674218779738e-12,0.028080869116785343,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,7887504355.983275,7528864418.075875,70452681.15781194,10101806252.68606,6846448713.935545,99983272.68308657,5,max,108.48941140085539,200.0,150.0,1.3204674218779738e-12,0.028080869116785343,0.001,False,,,3.680176849695904,475.1470412737722
0.0,5437910754.173994,8019779933.55958,19533384.663447842,5510347273.944992,8183683218.961849,23673276.774029847,6,min,118.84405576907204,200.0,150.0,1.3204674218779738e-12,0.025387083036192384,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,7790803556.0784,7520283184.155886,67421148.44616865,9926895005.570255,6724721388.237106,96854058.5944186,6,max,118.84405576907204,200.0,150.0,1.3204674218779738e-12,0.025387083036192384,0.001,False,,,3.680176849695904,475.1470412737722
0.0,5097901530.706459,7538998273.3540535,17791168.437708426,5159354630.536358,7691218286.367191,21689437.9489361,7,min,128.3661435004595,200.0,150.0,1.3204674218779738e-12,0.02334585557150096,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,7449975787.086153,7029990341.507865,64826428.880054474,9552190844.634277,6198792002.477924,94215024.54395851,7,max,128.3661435004595,200.0,150.0,1.3204674218779738e-12,0.02334585557150096,0.001,False,,,3.680176849695904,475.1470412737722
0.0,4826400745.767153,7153118541.277143,16425898.94567749,4878460888.040261,7295368063.654497,20125493.655971132,8,min,137.2290931352343,200.0,150.0,1.3204674218779738e-12,0.02172980841469219,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,7177877997.075962,6635691868.703673,62740191.71607594,9249863767.84445,5773142605.147966,92099930.39195724,8,max,137.2290931352343,200.0,150.0,1.3204674218779738e-12,0.02172980841469219,0.001,False,,,3.680176849695904,475.1470412737722
0.0,4237567337.4516788,6263294347.981972,15048381.747203637,4289175184.0041738,6405893086.788771,18578169.386474885,9,min,145.55336206442317,200.0,150.0,1.3204674218779738e-12,0.02040909364010445,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,6619154208.223983,5785536351.477677,60741353.53111097,8717167827.539614,4976935516.347715,90126814.94348827,9,max,145.55336206442317,200.0,150.0,1.3204674218779738e-12,0.02040909364010445,0.001,False,,,3.680176849695904,475.1470412737722
0.0,4051300900.2210436,6009904127.051542,14137627.225804584,4095913087.378908,6144745274.566215,17522786.044329155,10,min,153.42665483479496,200.0,150.0,1.3204674218779738e-12,0.019303409197056417,0.001,False,,,3.680176849695904,475.1470412737722
773.0836249506764,6433955320.381052,5526469776.031596,59279257.66276226,8509661316.088367,4694246759.1082115,88656299.92881437,10,max,153.42665483479496,200.0,150.0,1.3204674218779738e-12,0.019303409197056417,0.001,False,,,3.680176849695904,475.1470412737722
