delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um,source_file,risk
1060.1447447679006,8352047047.520288,330769602.5741574,137228213.3439691,8352481064.830622,333438443.3125609,137266745.76146233,1.1419627626093034,200.0,150.0,1.0913743486517615,1.1271897065224046,0.8303095374371456,1.1697609820386623,0.8729079298310527,1.0842538526667258,1.0535621697755124,1.1888481421594397,8.474749300762772,473.03433186910905,sweep_dataset_lhs_extended_50.csv,137266745.76146233
728.2424159609741,4419130973.583805,192557344.41044897,46609762.93253698,4418591306.384491,199442376.56867316,46612179.41580406,0.3034472931390633,200.0,150.0,1.1439525781977091,0.959554429530056,0.8906909971217493,1.158702303124273,0.9195499985821112,0.9441981383217978,1.019776601800919,0.9221771525599962,0.8996780639346771,106.34242951796868,sweep_dataset_lhs_extended_50.csv,46612179.41580406
835.8272464061532,5042574667.283606,898574495.7442623,60087362.08102921,5040219164.177585,972111449.5669856,60273390.95433467,4.09217434482561,200.0,150.0,0.8331441416456806,1.1030314032090347,1.082340863017333,1.029550021311388,1.1597705195110066,1.0992461954824206,0.8348808415738261,0.9890392428440464,9.509842363174252,337.85454267805477,sweep_dataset_lhs_extended_50.csv,60273390.95433467
658.1209450665577,3640160044.3821735,914504411.4543704,34594192.10416153,3669480859.305191,924670912.4674156,34660888.04324291,1.849196168718829,200.0,150.0,0.8007075401153507,1.1093863424467432,1.150853547685187,1.0056576219968625,0.8398156254105045,0.8529837308956347,1.1359245656415202,0.8856526138013547,5.412835186640786,175.89474504890308,sweep_dataset_lhs_extended_50.csv,34660888.04324291
795.1816503685271,4749163271.038337,380737256.098557,55372694.66222127,4742535576.000152,553371616.0652279,55414379.144523755,1.8198342030836532,200.0,150.0,1.0661547913933542,0.9997651791515928,0.931701359482597,0.8727950366015079,0.8890887362533484,0.822301542982749,0.9887059715904029,1.1809919278025864,2.5039379242283584,392.35085645399494,sweep_dataset_lhs_extended_50.csv,55414379.144523755
967.9704355318346,6449702549.21239,634001397.2781146,101158123.1847136,6448305096.819093,819497347.847399,101339111.68465117,4.201224718247314,200.0,150.0,1.0782189916026863,1.1874943537215956,1.0262852184334113,1.0895767953401394,1.1221201236342806,1.1997876524680238,1.0380435669526469,1.056193307497239,0.1774369438444639,340.8450729763527,sweep_dataset_lhs_extended_50.csv,101339111.68465117
1053.1274225625075,5205599712.643921,814306745.3330499,76101059.92349738,5204599016.050758,904730470.3057576,76321729.19672489,4.342620588103936,200.0,150.0,0.8516622874148347,1.048063869024413,1.0107769898772254,0.998936217292268,0.8429746487544165,0.8637590531896099,0.844632788151233,0.8326925603765993,7.457449073148497,414.6644990180668,sweep_dataset_lhs_extended_50.csv,76321729.19672489
772.3190818860642,4419358947.177655,813505185.7533329,52463785.5154636,4402831926.768598,845545596.2402135,52506790.80259459,1.236688985413675,200.0,150.0,1.0073647898395024,1.1555157119072872,1.0906339391606028,1.0708321530820055,1.1820632387380348,0.8646240724543969,1.0899820495960089,0.9019474875177113,2.9272977186981217,152.66460837718955,sweep_dataset_lhs_extended_50.csv,52506790.80259459
978.6522171284372,5136677679.420113,1367229482.053305,80106360.02435154,5126385107.52104,1328073902.915517,80192624.88678017,1.000402788858593,200.0,150.0,0.8591506412107018,1.1414537742513975,1.1927622623456122,0.8049767423610363,0.8855437783151581,0.9227954835671324,1.0125975318626652,1.0510428283806454,2.3470789817521127,232.25957152907736,sweep_dataset_lhs_extended_50.csv,80192624.88678017
756.2994020458968,4422617801.70521,727655871.1438894,44584362.750963934,4407808012.514877,755129462.0037049,44649261.26326296,2.565488953935928,200.0,150.0,1.033700028589824,0.869387309659929,1.1579187907104234,1.135893239495563,0.8492668471257445,1.050709047197586,0.9343184184154196,0.8434326615906046,5.111940900996106,125.350079697133,sweep_dataset_lhs_extended_50.csv,44649261.26326296
947.3075193637126,5837540624.727257,1243854977.84927,80291380.07868397,5817474692.663521,1201055910.222734,80392342.02169135,1.3189073769930637,200.0,150.0,0.8756721208833103,1.0573067449855855,1.1651612190498626,0.9393785059921071,0.901482377218774,0.9293490649850688,0.9698369228672628,1.0759035466106115,1.4392520009343943,94.05157268668924,sweep_dataset_lhs_extended_50.csv,80392342.02169135
705.1297045522954,4509009077.079631,354013162.00764155,42440509.67080672,4505840850.505784,375134212.2163537,42472302.30382822,3.055054877448423,200.0,150.0,1.0228758567012537,0.8898619656325691,0.9044147211625608,1.185282814320353,1.1891524022696869,1.0594059121487291,0.9818669522627964,0.9342167606712104,6.972479290428031,148.93908448654952,sweep_dataset_lhs_extended_50.csv,42472302.30382822
769.2740725852517,4900166351.506417,822226523.9627044,50150021.04784183,4896419668.8859215,940607996.141503,50280402.691373385,3.8763156114009,200.0,150.0,0.9323350387434696,0.9458666477553356,1.0779425800850198,1.0228232440434954,1.14172991360834,0.9947965716850442,1.1090611719395285,1.0311467571542132,4.281814241129876,456.18378628911177,sweep_dataset_lhs_extended_50.csv,50280402.691373385
