feature,coef
delta_t,100733851.30052252
tgo_thickness_um,-32746220.52920625
ysz_thickness_um,17801301.94711423
bond_thickness_um,-2208631.2732847393
alpha_scale,63971454.19512759
e_scale,67927086.60224314
