feature,coef
delta_t,124180782.27253126
tgo_thickness_um,31053529.36416598
ysz_thickness_um,14711974.432120625
bond_thickness_um,7506354.08648618
alpha_scale,73188158.29569462
e_scale,77042990.38355489
