feature,coef
delta_t,22043469.762202535
tgo_thickness_um,-1041979.1282043537
ysz_thickness_um,571874.1248309532
bond_thickness_um,-231662.44361424024
alpha_scale,11009859.182394868
e_scale,5103029.277173518
