feature,coef
delta_t,815910265.6474341
tgo_thickness_um,17499414.094012644
ysz_thickness_um,37339465.66177793
bond_thickness_um,2782778.432226525
alpha_scale,533060635.57131666
e_scale,558673748.6034794
