alpha_scale_ysz,delta_alpha,max_sigma_yy,max_tau_xy,mean_sed
0.7,5.999999999999999e-06,5398596126.34174,1106574609.1817305,62673746.40339334
0.9,3.999999999999999e-06,5326158277.530994,830766234.0399722,65894047.122426376
1.0,2.9999999999999984e-06,5289939353.120609,701521665.8751694,67606545.52564608
1.1,1.999999999999998e-06,5253720428.717703,594764524.04676,69387275.95801641
1.3,1.6940658945086007e-21,5181282579.904741,381250240.393887,73153432.91019756
