delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,13411130749.24467,18809284615.159313,103727025.45096084,12832743462.79842,18956641272.839157,121428920.41717127,1,min,108.35488376881567,200.0,150.0,7.154249665294831e-12,0.060339083507207535,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,16072692989.159624,18249490616.30193,188593243.06269225,17897053637.210007,17337880809.460457,231027301.60827172,1,max,108.35488376881567,200.0,150.0,7.154249665294831e-12,0.060339083507207535,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,5658096833.368473,7999401080.832274,24957758.41205878,5390728495.080712,8084107155.042712,30309921.08405249,2,min,153.22676393448083,200.0,150.0,7.154249665294831e-12,0.025401716183643588,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,8352239519.418208,7445357770.000844,86675176.83235756,10421620912.361135,6431460353.766383,124555234.37974869,2,max,153.22676393448083,200.0,150.0,7.154249665294831e-12,0.025401716183643588,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,4977309492.5461,7034799254.942477,17927594.0987363,4723465123.2274275,7146927452.8882,22081455.93506016,3,min,187.65953622215068,200.0,150.0,7.154249665294831e-12,0.019492196579199258,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,7632154558.918822,6400664087.997265,75568922.12011155,9577537554.639776,5242385744.813274,113391689.27150728,3,max,187.65953622215068,200.0,150.0,7.154249665294831e-12,0.019492196579199258,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,4368096734.190396,6165460224.156696,14436729.964404788,4130896984.9752083,6270294321.838538,17953807.63997437,4,min,216.68816738435962,200.0,150.0,7.154249665294831e-12,0.01643294302043367,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,7021175629.380208,5510419913.641108,69686716.85586332,8917814068.274494,4282603307.827366,107619402.11541733,4,max,216.68816738435962,200.0,150.0,7.154249665294831e-12,0.01643294302043367,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,3571897699.889973,5136434277.743511,12061248.079887347,3362356435.406838,5214211188.875054,15168846.02787503,5,min,242.26312602967835,200.0,150.0,7.154249665294831e-12,0.014477838649023281,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,6275726391.359392,4526173783.928475,65621815.867352985,8226657380.642614,3326083760.382561,103778448.38261338,5,max,242.26312602967835,200.0,150.0,7.154249665294831e-12,0.014477838649023281,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,3692488449.1796455,5184213546.605243,10849745.463833652,3472588439.939572,5277188530.0444355,13623028.897314992,6,min,265.3847821239028,200.0,150.0,7.154249665294831e-12,0.013089038026329757,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,6341851843.168079,4499175746.61199,63094784.96037269,8155304048.05977,3167520088.0542293,101308974.04314636,6,max,265.3847821239028,200.0,150.0,7.154249665294831e-12,0.013089038026329757,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,3476336028.945959,4865377125.124968,9763877.849721083,3261901956.3739824,4953655569.252283,12285849.780395417,7,min,286.64741919687845,200.0,150.0,7.154249665294831e-12,0.012036657930300449,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,6123705065.253929,4168810516.187492,60942364.30785417,7901962352.89826,2796282243.981238,99303547.01677534,7,max,286.64741919687845,200.0,150.0,7.154249665294831e-12,0.012036657930300449,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,3303513691.3249063,4608498162.678858,8917800.17462688,3093514204.475477,4692712222.079106,11233179.776232677,8,min,306.4382536197309,200.0,150.0,7.154249665294831e-12,0.01120347881993703,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,5948816909.242805,3901896484.018119,59198775.593515895,7695236584.230024,2493466300.684862,97705969.09816961,8,max,306.4382536197309,200.0,150.0,7.154249665294831e-12,0.01120347881993703,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,2807898009.3442345,4034568343.104087,8048569.190765445,2614620240.1154284,4098448588.558175,10210025.524308287,9,min,325.026250679526,200.0,150.0,7.154249665294831e-12,0.010522559429025375,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,5513419071.12844,3384875156.9268265,57564108.623156436,7344048779.995779,2041385322.4479344,96303570.19924393,9,max,325.026250679526,200.0,150.0,7.154249665294831e-12,0.010522559429025375,0.001,False,,,3.0804156877644977,56.12100694612674
0.0,2696497042.163987,3869166074.0787797,7492949.213370248,2505573795.9329453,3930361433.8738785,9504405.483618533,10,min,342.6072444944351,200.0,150.0,7.154249665294831e-12,0.00995250061873788,0.001,False,,,3.0804156877644977,56.12100694612674
881.1241150267199,5401557608.399019,3212176429.958866,56330557.80359082,7208253322.545288,1841782044.905886,95210027.17087911,10,max,342.6072444944351,200.0,150.0,7.154249665294831e-12,0.00995250061873788,0.001,False,,,3.0804156877644977,56.12100694612674
