feature,importance
t_max_C,2809735.278884509
delta_t,2809735.278884508
initial_tgo_thickness_um,1238410.0839040177
roughness_amplitude_um,1181770.4950271742
k_p_m2_s,783059.8021693036
roughness_wavelength_um,548707.2749294408
cycle_dt_s,114278.10346559202
t_min_C,0.0
n_cycles,0.0
growth_eigenstrain_coeff,0.0
