delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5294247252.414818,640779946.980572,68447808.73110099,5287511046.048416,644386065.6764902,68480775.01999795,1.0,200.0,150.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,100.0
900.0,5293298939.501145,662537995.3721936,68079305.97102736,5286203607.583512,667511845.0648613,68112694.03656477,1.0,200.0,150.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,0.0,100.0
900.0,5291277003.872228,683032521.0125375,67735860.67502326,5283792915.410219,690268069.1518285,67769628.74099246,1.0,200.0,150.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.0,100.0
900.0,5288417099.148781,702437363.4879603,67414550.85584022,5280518816.859296,712697677.0512967,67448666.24733855,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.04,1.0,1.0,1.0,0.0,100.0
900.0,5284901104.77589,720885685.3364495,67112959.99792175,5276566805.145168,734828833.1625994,67147396.57502921,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.12,1.0,1.0,1.0,0.0,100.0
900.0,5280870834.399446,738482260.930756,66829061.62744402,5272081823.783257,756680123.0796415,66863798.03444151,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,0.0,100.0
