delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed
600.0,3522601154.5973806,454301921.8116823,30046255.934744567,3928684583.295192,500171356.84450233,38399315.72527346
750.0,4403251443.249369,567877402.2637222,46947274.898038045,4910855729.11605,625214196.056312,59998930.82074165
900.0,5283901731.8979,681452882.7181324,67604075.85317592,5893026874.939925,750257035.267332,86398460.38187137
1050.0,6164552020.547836,795028363.1664072,92016658.80015047,6875198020.762468,875299874.4789569,117597904.40865487
600.0,3526626235.4168816,461908030.9818437,30032266.742155984,3521500739.4619036,467681110.58149874,30047353.566954765
750.0,4408282794.271257,577385038.7302392,46925416.784617275,4401875924.328972,584601388.2287102,46948989.94835522
900.0,5289939353.120609,692862046.4793285,67572600.1698445,5282251109.188444,701521665.8751694,67606545.52564608
1050.0,6171595911.977451,808339054.2183579,91973816.89784212,6162626294.057795,818441943.5205714,92020020.2987893
