delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5365947278.7158375,704358236.8865054,60248902.57913822,5358750844.440597,698974538.7593915,60275103.47788083,1.0,200.0,150.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5335544108.475484,699759760.728714,63058031.44405907,5328150950.345224,699993389.6078055,63087114.78409102,1.0,200.0,150.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5305140938.24519,695161284.5591558,66027627.2041339,5297551056.239378,701012240.4525774,66059880.1074714,1.0,200.0,150.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5274737768.000105,690562808.3910182,69157689.85935016,5266951162.144416,702031091.2941881,69193399.44812194,1.0,200.0,150.0,1.0,1.04,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5244334597.774347,685964332.224643,72448219.40970665,5236351268.042,703049942.1396066,72487672.80597532,1.0,200.0,150.0,1.0,1.12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5213931427.532862,681365856.0620835,75899215.85523707,5205751373.940367,704068792.9856637,75942700.18104285,1.0,200.0,150.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
