delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5112656731.203085,260412192.76320523,64145316.03770627,5112757902.455547,303807681.7494795,64162734.14805844,1.0,200.0,150.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5164005144.112476,433392134.2448683,65485011.256518535,5158939419.835688,462893275.39539725,65508566.34932594,1.0,200.0,150.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5247961283.453322,606372075.7348598,66866331.054043256,5241147212.739749,621978869.0474123,66896655.01695782,1.0,200.0,150.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5331917422.78973,779352017.2186037,68289275.43030378,5323355005.644962,781064462.6997013,68327000.15092796,1.0,200.0,150.0,1.0,1.0,1.04,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5415873562.131376,952331958.7043642,69753844.38530205,5405562798.545782,940150056.3474932,69799601.75123435,1.0,200.0,150.0,1.0,1.0,1.12,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5499829701.46027,1125311900.1824496,71260037.91902494,5487770591.4537945,1099235649.9956746,71314459.8178978,1.0,200.0,150.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,0.0,100.0
