delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5277431463.301443,689533286.3292903,67157430.67132525,5269617104.798722,701570073.537833,67191680.90174903,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.0,100.0
900.0,5282824953.155119,690957157.7487644,67335447.85390975,5275064647.690286,701546061.2746382,67369560.66110809,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,0.0,100.0
900.0,5287683006.242231,692254490.7022043,67497155.84832904,5279971810.509249,701528471.4334809,67531152.62934044,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.0,100.0
900.0,5292092920.359415,693444984.484614,67644763.41186772,5284426669.795592,701516003.9657727,67678661.1276249,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.04,1.0,1.0,0.0,100.0
900.0,5296122625.600973,694544011.3149055,67780095.2201434,5288497763.14374,701507658.2350094,67813907.5433002,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.12,1.0,1.0,0.0,100.0
900.0,5299825969.229822,695563801.019164,67904671.04073201,5292239420.728534,701502652.698599,67938409.15213424,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,0.0,100.0
