delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,4293396056.430732,699434925.3402131,56641170.7533152,4285764967.629877,747964160.2808436,56676607.23330677,1.0,200.0,150.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,100.0
900.0,4692013375.103324,696805773.7953699,60723392.19599709,4684359424.248421,729387162.5191334,60758232.9752557,1.0,200.0,150.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5090630693.785009,694176622.2461962,65192747.403914474,5082953880.87678,710810164.7538365,65226991.48383431,1.0,200.0,150.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5489248012.46394,691547470.7028261,70049236.37707865,5481548337.518256,692233166.9926509,70082882.75911343,1.0,200.0,150.0,1.0,1.0,1.0,1.04,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5887865331.141023,688918319.1597282,75292859.11547069,5880142794.126921,673656169.2308366,75325906.8010301,1.0,200.0,150.0,1.0,1.0,1.0,1.12,1.0,1.0,1.0,1.0,0.0,100.0
900.0,6286482649.808642,686289167.609535,80923615.61911765,6278737250.7588625,668643709.3650843,80956063.6096625,1.0,200.0,150.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,0.0,100.0
