feature,importance
initial_tgo_thickness_um,156092493.1686002
k_p_m2_s,90451690.32052031
roughness_amplitude_um,88150614.35941318
t_max_C,49365012.54918057
delta_t,49365012.54918049
roughness_wavelength_um,17627280.417874157
cycle_dt_s,3740056.3605360687
t_min_C,0.0
n_cycles,0.0
growth_eigenstrain_coeff,0.0
