delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,30366702323.09148,44627850497.62021,550208253.24992,31166151905.86148,45720238177.52884,655846424.8184416,1,min,93.81346691822118,200.0,150.0,8.540249197114189e-12,0.151447911975105,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,33205525845.003136,44061466924.5728,705355437.5933605,36560706872.53919,44079963501.455185,817596720.0715965,1,max,93.81346691822118,200.0,150.0,8.540249197114189e-12,0.151447911975105,0.001,False,,,6.074526326177682,390.7552414408557
0.0,12756747827.562908,18833316799.995983,132016650.76017265,13061639956.480349,19342178584.936283,161880837.51278117,2,min,132.67085006630504,200.0,150.0,8.540249197114189e-12,0.06314367350804581,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,15623508747.581638,18271573765.501728,232092963.9753575,18418948773.034073,17666579426.486,286263846.8389593,2,max,132.67085006630504,200.0,150.0,8.540249197114189e-12,0.06314367350804581,0.001,False,,,6.074526326177682,390.7552414408557
0.0,11164291921.025177,16717187961.248465,95672203.61186442,11334565766.415462,17065363142.433352,118626695.72443588,3,min,162.48736055280054,200.0,150.0,8.540249197114189e-12,0.04845215634139628,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,13995370991.298077,16068796479.042747,186979949.01728114,16525038897.916878,15138866811.380323,236315936.31851962,3,max,162.48736055280054,200.0,150.0,8.540249197114189e-12,0.04845215634139628,0.001,False,,,6.074526326177682,390.7552414408557
0.0,8878936417.077892,13417415028.562712,76042509.19167936,9005893644.42404,13729138323.876081,95524493.70085329,4,min,187.6239063166408,200.0,150.0,8.540249197114189e-12,0.04084716237280254,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,11754314981.10849,12809420410.663689,162371210.4578615,14246324961.646145,11879190823.889982,209623963.27894074,4,max,187.6239063166408,200.0,150.0,8.540249197114189e-12,0.04084716237280254,0.001,False,,,6.074526326177682,390.7552414408557
0.0,8915759568.302355,13379267533.96388,66413398.440400474,8973559387.483738,13612408447.1502,83581466.0688489,5,min,209.7696787040859,200.0,150.0,8.540249197114189e-12,0.03598712285609189,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,11744476790.3121,12688989921.5445,149258104.27913025,14044269258.48403,11533601283.374857,194920709.88144293,5,max,209.7696787040859,200.0,150.0,8.540249197114189e-12,0.03598712285609189,0.001,False,,,6.074526326177682,390.7552414408557
0.0,7424642859.613685,11324857424.283693,57556434.014099486,7472539886.580232,11551811663.607203,73102625.58755793,6,min,229.7910050148074,200.0,150.0,8.540249197114189e-12,0.03253487469664021,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,10304911478.279804,10687533710.979143,137751070.02065662,12631535998.858168,9588864219.215311,182651219.88743538,6,max,229.7910050148074,200.0,150.0,8.540249197114189e-12,0.03253487469664021,0.001,False,,,6.074526326177682,390.7552414408557
0.0,6964449650.485166,10646951157.762922,51933443.76798082,6985774430.227892,10845897858.853884,66171506.30867845,7,min,248.2025259094175,200.0,150.0,8.540249197114189e-12,0.029918923251350017,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,9846187747.7034,9998131048.916834,129979515.6544313,12110965100.779236,8838102987.167625,174166323.36935416,7,max,248.2025259094175,200.0,150.0,8.540249197114189e-12,0.029918923251350017,0.001,False,,,6.074526326177682,390.7552414408557
0.0,6598879604.1287,10101208077.619055,47541042.23214004,6598598000.659338,10277589930.18526,60708266.16533954,8,min,265.339559338435,200.0,150.0,8.540249197114189e-12,0.027847867150871373,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,9481621251.715504,9442292591.808235,123788454.89275794,11693172541.12151,8230167784.248088,167426852.09873432,8,max,265.339559338435,200.0,150.0,8.540249197114189e-12,0.027847867150871373,0.001,False,,,6.074526326177682,390.7552414408557
0.0,7094845157.495922,10578554615.330328,44953840.290083885,7053632363.115826,10714116648.904606,57146931.23677809,9,min,281.435018489197,200.0,150.0,8.540249197114189e-12,0.026155297532636887,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,9918141825.328516,9838749880.191193,119646905.29405485,11963684177.351301,8448130135.817715,162620424.69264048,9,max,281.435018489197,200.0,150.0,8.540249197114189e-12,0.026155297532636887,0.001,False,,,6.074526326177682,390.7552414408557
0.0,6826014161.163332,10154666278.548967,41957097.025505565,6770073796.044471,10275999204.81222,53370888.307984866,10,min,296.6584863342265,200.0,150.0,8.540249197114189e-12,0.024738302103449288,0.001,False,,,6.074526326177682,390.7552414408557
930.3440740843773,9647765768.430754,9405888187.028349,115299770.55098194,11648599138.42868,7975287774.169657,157922960.29729354,10,max,296.6584863342265,200.0,150.0,8.540249197114189e-12,0.024738302103449288,0.001,False,,,6.074526326177682,390.7552414408557
