E_scale,max_sigma_yy,max_tau_xy,mean_sed
0.5,2644969676.5603046,350760832.9375847,33803272.76282304
1.0,5289939353.120609,701521665.8751694,67606545.52564608
1.5,7934909029.664047,1052282498.8220563,101409818.28821602
2.0,10579878706.241219,1403043331.7503388,135213091.05129215
