nx,dy_scale,element_size_um,max_sigma_yy,max_tau_xy,p95_sigma_yy,p95_tau_xy,mean_sed
120,1.4,16.666666666666668,5269710033.38043,674395406.1035181,5151535802.133599,485384137.6360127,67823581.57442309
160,1.2,12.5,5282063712.777407,689558239.2492626,5118145516.330524,441064591.3066842,67795574.61704054
200,1.0,10.0,5289939353.120609,701521665.8751694,5134172519.779803,462563674.32308275,67606545.52564608
300,0.8,6.666666666666667,5290304844.163696,747839126.6145905,5170792729.65521,525348634.46289426,68232862.66058065
400,0.6,5.0,5304542773.25812,786630867.9687324,5199197913.444238,561169038.3269013,66106006.36443231
