delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol,roughness_amplitude_um,roughness_wavelength_um
0.0,5286060986.259843,7387337790.697798,14263189.9790633,5228705422.714627,7601458475.954012,16249620.552450804,1,min,76.7273568193633,200.0,150.0,4.295108461566198e-12,0.026564160552836568,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,7783086193.647793,6913308430.860998,64111486.829565085,10038968260.024933,6232429175.893784,96682915.4985664,1,max,76.7273568193633,200.0,150.0,4.295108461566198e-12,0.026564160552836568,0.001,False,,,6.870077486710539,106.33822446182519
0.0,2453863950.4140816,3483030503.618962,3680266.8301049965,2426700769.486017,3584433413.3468437,4343555.700101957,2,min,108.47315883934225,200.0,150.0,4.295108461566198e-12,0.011404620464345675,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,4943146530.322108,2969396508.3011804,45784000.02939405,7142165707.801142,2076529914.8080533,79516633.64755066,2,max,108.47315883934225,200.0,150.0,4.295108461566198e-12,0.011404620464345675,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1976463908.5196838,2832005869.4324875,2626105.3771881885,1951422261.4437237,2912139327.0591955,3159640.944232642,3,min,132.83736331576463,200.0,150.0,4.295108461566198e-12,0.008752795245003973,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,4463666977.781025,2292380817.149195,43140673.97737176,6601928750.033593,1312014068.7711878,77274282.840658,3,max,132.83736331576463,200.0,150.0,4.295108461566198e-12,0.008752795245003973,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1727384548.6464486,2488836016.8889203,2132435.6917396933,1702247860.9580379,2557041386.196057,2598326.8203237276,4,min,153.3789555212309,200.0,150.0,4.295108461566198e-12,0.007379528880362476,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,4213702257.5096354,1929848385.1391594,41663672.52385333,6301664107.570745,887049085.085209,76081740.86441897,4,max,153.3789555212309,200.0,150.0,4.295108461566198e-12,0.007379528880362476,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1433616145.8288236,2071543479.867975,1799289.0317515563,1408932530.4667113,2132769081.8364034,2219056.1800841643,5,min,171.4772372674665,200.0,150.0,4.295108461566198e-12,0.006501774131984879,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3955921821.964979,1550027157.5056243,40610650.43349138,6059651717.640006,543309653.6775186,75276708.2165879,5,max,171.4772372674665,200.0,150.0,4.295108461566198e-12,0.006501774131984879,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1321373221.5909321,1921316519.30914,1594160.4891531102,1296142691.3874476,1976298444.3562682,1980311.5799761312,6,min,187.83977695094902,200.0,150.0,4.295108461566198e-12,0.005878212016992745,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3845987424.700307,1388844250.1798544,39831626.02511423,5917474606.3965225,344249223.3321327,74694521.0955452,6,max,187.83977695094902,200.0,150.0,4.295108461566198e-12,0.005878212016992745,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1235990196.3480453,1805621016.8809633,1441622.57154486,1210154653.5636811,1855738380.197798,1800855.034767402,7,min,202.8869653503683,200.0,150.0,4.295108461566198e-12,0.00540567450911722,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3762507744.7949667,1263683700.0461342,39201799.95781864,5805254649.449772,186572496.1835201,74238436.44142576,7,max,202.8869653503683,200.0,150.0,4.295108461566198e-12,0.00540567450911722,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1293350625.3842652,1874709440.7810404,1348422.496927933,1265337058.96783,1920658360.0653968,1684688.160489358,8,min,216.89273757592906,200.0,150.0,4.295108461566198e-12,0.005031547681235753,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3777566783.4828234,1267068392.193597,38695653.96827481,5722391753.375494,140372785.85948336,73870110.23955671,8,max,216.89273757592906,200.0,150.0,4.295108461566198e-12,0.005031547681235753,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1235539388.6933756,1790424003.4465475,1250685.201558904,1206862123.105236,1833293966.9451423,1567568.8957577762,9,min,230.04738320024444,200.0,150.0,4.295108461566198e-12,0.004725782029191334,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3719154888.6347885,1174337451.4058125,38239827.17313152,5636812763.572247,153215407.76277858,73557416.0821444,9,max,230.04738320024444,200.0,150.0,4.295108461566198e-12,0.004725782029191334,0.001,False,,,6.870077486710539,106.33822446182519
0.0,1186802731.7803347,1718768849.845616,1169511.0259698108,1157519552.312945,1759031500.879254,1469516.2969348796,10,min,242.4894583716566,200.0,150.0,4.295108461566198e-12,0.004469792416317366,0.001,False,,,6.870077486710539,106.33822446182519
820.4938640398251,3669765424.93737,1095099044.6299276,37840369.48300209,5594139878.404071,164728507.05394605,73290210.49622644,10,max,242.4894583716566,200.0,150.0,4.295108461566198e-12,0.004469792416317366,0.001,False,,,6.870077486710539,106.33822446182519
