tgo_thickness_um,max_sigma_yy,max_tau_xy,mean_sed
0.5,5277349872.369829,688257561.7980863,67658008.53173582
1.0,5289939353.120609,701521665.8751694,67606545.52564608
2.0,5303229738.380417,736334081.7033713,67509183.5377388
4.0,5303524920.197477,767251484.479582,67328168.082389
6.0,5875851533.461174,929817860.5302198,86053822.67060369
