delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um
600.0,3526626235.4168816,461908030.9818437,30032266.742155984,3521500739.4619036,467681110.58149874,30047353.566954765,1.0
671.4285714285714,3946462692.011459,516897082.28909415,37608433.80579469,3940727017.9685154,523357433.27151805,37627326.54728141,1.0
742.8571428571429,4366299148.603549,571886133.6035116,46035855.59567424,4359953296.479588,579033755.9602423,46058981.88494355,1.0
814.2857142857142,4786135605.205381,626875184.9060706,55314532.111822106,4779179574.987087,634710078.6476707,55342319.57995543,1.0
885.7142857142858,5205972061.80469,681864236.2139419,65444463.35421229,5198405853.489885,690386401.3400677,65477339.632303335,1.0
957.1428571428571,5625808518.403914,736853287.5206612,76425649.32285689,5617632131.992395,746062724.0261067,76464042.04198097,1.0
1028.5714285714284,6045644974.997121,791842338.8275627,88258090.01775014,6036858410.505657,801739046.7159189,88302426.8090079,1.0
1100.0,6465481431.594568,846831390.1394281,100941785.43888292,6456084689.022331,857415369.4057305,100992493.93338859,1.0
