delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5362377201.935059,968670421.617617,64205190.215068646,5351306775.922422,947359476.2151513,64249780.74834146,1.0,200.0,150.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5333402062.406276,858347071.5547316,65519060.57260416,5323684509.238303,833139901.7949442,65559735.285279,1.0,200.0,150.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5304426922.887653,748023721.4991331,66877055.76263871,5296062242.538654,744224522.602074,66913358.320856646,1.0,200.0,150.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5275451783.362259,637700371.4486319,68279175.78517695,5268439975.847893,658818809.1455743,68310649.85508859,1.0,200.0,150.0,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5246476643.840995,527377021.3883378,69725420.64019759,5240817709.146534,573413095.6811199,69751609.88798065,1.0,200.0,150.0,1.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
900.0,5217501504.308916,417053671.34056973,71215790.32771721,5213195442.462947,488007382.21952146,71236238.41953173,1.0,200.0,150.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0
