delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um
900.0,5267397841.801062,657700689.7042042,69841137.01732156,5258849568.605535,692840647.0957394,69872789.82643671,1.0,100.0,150.0
900.0,5279542932.497801,678867385.7486786,68699335.02697973,5271495238.246403,698253330.9431274,68732240.48892488,1.0,142.85714285714286,150.0
900.0,5287691935.590044,690191471.1409899,67821940.2119682,5279932811.538856,700929219.900621,67855669.59617735,1.0,185.71428571428572,150.0
900.0,5293979624.649525,697189386.326491,67125692.81372306,5286410250.088441,702403854.2402792,67160006.71998562,1.0,228.57142857142856,150.0
900.0,5299305876.448636,701873448.9617885,66562162.03698367,5291868986.545257,703313213.1216428,66596909.71454951,1.0,271.42857142857144,150.0
900.0,5304077990.175908,705219494.6372579,66100128.921736784,5296741367.08969,703850592.4231064,66135206.835577905,1.0,314.2857142857143,150.0
900.0,5308524292.823806,707674970.0738075,65718051.812559195,5301264620.99674,704186512.3101584,65753386.28028698,1.0,357.1428571428571,150.0
900.0,5312736898.826092,709531653.4073493,65400368.35970053,5305538926.453288,704369449.9710573,65435904.73514925,1.0,400.0,150.0
