delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um
900.0,5295460576.383778,693340153.3534116,67168664.59230895,5287733877.250998,701717839.2527732,67201716.0147664,1.0,200.0,80.0
900.0,5294370690.8638,693568091.8819863,67318755.90232618,5286695468.347038,701417002.9553336,67352174.33393285,1.0,200.0,104.28571428571428
900.0,5292171828.917242,693263020.0700471,67457826.50287063,5284498014.217468,701417818.6651855,67491545.28996837,1.0,200.0,128.57142857142856
900.0,5289658519.82345,692855822.6867051,67587379.32655405,5281974686.357096,701465971.0300893,67621350.57715812,1.0,200.0,152.85714285714286
900.0,5287125857.355263,692435588.8570839,67708529.56999144,5279427827.637146,701534031.6550124,67742719.06031954,1.0,200.0,177.14285714285714
900.0,5284697579.590443,692031675.9304813,67822146.55433646,5276984103.415755,701608706.6852865,67856528.51085047,1.0,200.0,201.42857142857142
900.0,5282423353.696935,691653444.8763523,67928937.60754196,5274694451.086492,701683411.779497,67963491.85675026,1.0,200.0,225.71428571428572
900.0,5280318788.565856,691302928.273725,68029495.6650723,5272575043.108771,701754920.8231826,68064205.94106054,1.0,200.0,250.0
