delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um
900.0,5266919202.637938,680653879.8589553,67683044.14111857,5264851224.459011,668201619.9180591,67690160.82341897,0.2
900.0,5287715559.26277,694134153.3296324,67586080.90857716,5279697691.903001,709980892.7881763,67620119.85158025,0.8857142857142857
900.0,5299028045.721147,689580639.9866533,67495389.0470176,5288478223.671251,746193923.4367731,67553720.88759695,1.5714285714285714
900.0,5304843777.277605,675383695.4852068,67412846.05347592,5295564163.013654,742644412.7063977,67485041.79183942,2.257142857142857
900.0,5306542924.135124,654715098.3671829,67330469.52632599,5299316923.506118,755610716.4009423,67422048.07239516,2.942857142857143
900.0,5305230951.546816,629068100.7650183,67250613.8119823,5301624861.292116,764115815.9562535,67360758.17319073,3.628571428571429
900.0,5301621563.7004795,599885805.6482887,67172874.11948578,5302873204.049187,769225893.1044296,67300892.39670368,4.314285714285714
900.0,5296223293.461179,582410850.5590506,67096957.42527413,5303294607.359455,771692842.8795298,67242254.73973155,5.0
