delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5289939353.120609,692862046.4793285,67572600.1698445,5282251109.188444,701521665.8751694,67606545.52564608,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200.0
900.0,5292238638.24437,695974752.9497803,67574259.0386202,5282197986.721966,699248686.6265938,67607476.15188213,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,200.0
900.0,5292238638.24437,695974752.9497803,67574259.0386202,5282197986.721966,699248686.6265938,67607476.15188213,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,200.0
900.0,5292238638.24437,695974752.9497803,67574259.0386202,5282197986.721966,699248686.6265938,67607476.15188213,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,200.0
900.0,5292238638.24437,695974752.9497803,67574259.0386202,5282197986.721966,699248686.6265938,67607476.15188213,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,200.0
900.0,5292238638.24437,695974752.9497803,67574259.0386202,5282197986.721966,699248686.6265938,67607476.15188213,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,200.0
