delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um
100.0,587771039.23607,76984671.83081302,834229.6317263797,586916789.9098847,77946851.76394364,834648.7101933234,1.0,200.0,150.0
200.0,1175542078.47214,153969343.66162604,3336918.526905519,1173833579.8197694,155893703.52788728,3338594.8407732937,1.0,200.0,150.0
400.0,2351084156.94428,307938687.3232521,13347674.107622076,2347667159.639539,311787407.05577457,13354379.363093175,1.0,200.0,150.0
