delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5287998932.583216,681331445.3371822,67575159.10115793,5280393338.835595,694796149.664809,67607398.48162942,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,50.0
900.0,5293535571.583401,694011260.6125251,67570701.59916554,5284594070.60232,709897670.30758,67605235.33560315,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,140.0
900.0,5286008722.288718,690978017.1952806,67574261.70769405,5280159155.121814,694090864.904752,67607673.32077308,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,230.0
900.0,5292557335.574127,692419226.5150651,67569863.92661817,5284173531.682039,710019352.8838508,67604775.11584368,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,320.0
900.0,5289395347.930308,694600376.952039,67575784.3874456,5281232277.502437,694597300.8991202,67608520.76949884,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,410.0
900.0,5291306708.56464,694158707.7549314,67574142.34145534,5282665531.072857,700568432.8056995,67607468.10761894,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,500.0
