delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,nx,dy_scale
900.0,5289939353.120609,692862046.4793285,67572600.1698445,5282251109.188444,701521665.8751694,67606545.52564608,1.0,200,1.0
900.0,5304492741.82806,695208627.2963618,66028671.600189514,5293518109.139662,678524603.6439191,66126621.77337313,1.0,400,0.5
900.0,5300633015.551566,659819129.290931,66299210.30227711,5112953838.421456,869284319.0657047,68887696.10419756,1.0,600,0.33
