delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,alpha_scale_ysz,alpha_scale_sub,alpha_scale_bond,alpha_scale_tgo,E_scale_ysz,E_scale_sub,E_scale_bond,E_scale_tgo,roughness_amplitude_um,roughness_wavelength_um
900.0,5246387964.51309,622557388.5365158,67014829.982208766,5240763690.601241,609954873.3679,67046822.47443205,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,100.0
900.0,5264422174.956813,651804651.88124,67248360.67411943,5257979049.593574,647174297.3343014,67281168.27749328,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,0.0,100.0
900.0,5281629320.535028,679522043.155694,67467605.80217367,5274358041.300317,683590273.5134807,67501181.79418936,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.0,100.0
900.0,5298061963.885141,705881016.7414753,67674819.85290015,5289955135.52687,719278948.5116618,67709125.84540674,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04,1.0,0.0,100.0
900.0,5313768202.69734,731019515.4533379,67871695.77755663,5304820211.4819565,754295706.3888831,67906699.71399154,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.12,1.0,0.0,100.0
900.0,5328792325.525089,755050874.7023349,68059539.3994277,5318999198.442566,788681745.5443203,68095214.11587247,1.0,200.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,0.0,100.0
